Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,I suppose it's a rather philosophical difference between a wink and a blink.,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Well, I mean, there's no real difference.",Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,You thought of a name yet? It would be easier to refer to him if he had a name.,People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,What? No. This is just the way I talk.,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Don't you think he should have a name?,People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Let's see, there's Duncan, Kevan, Jo,n Guymon, Feldan, Tristifer.",People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Uh, yes. Maybe that's not-",Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"That's a lovely idea, but Mormont's a last name.",People
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Well, it's a family name. For instance, I'm Samwell Tarly. Samwell is my birth name and Tarly is my family name. You see? So my father is also a Tarly.",Information/Lore
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"No, Randyll Tarly.",Information/Lore
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Please don't name him Randyll.,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Different manner of cruel.,Information/Lore
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,I'll be back. I just want to look.,Plans/Strategy/Advice
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Go inside. Go back inside. I'll-,Orders/Demands
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Stay back!,Orders/Demands
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,You stay back!,Orders/Demands
2013-06-02,Season 3,Episode 9,The Rains of Castamere,sam tarly,"We're west of Castle Black, but the Nightfort's closest to us. It was the first castle on the Wall. The Watch abandoned it during the reign of King Jaehaerys I. Too big, impossible to maintain. Other than Castle Black itself, the Nightfort's the perfect castle for us. It's got a secret sally port, the Black Gate, as old as the Wall itself. No one's used it for centuries, most likely. It leads through the Wall right down into the Nightfort, if no one knows how to find it, which, it just so happens I do.",Information/Lore
2013-06-02,Season 3,Episode 9,The Rains of Castamere,sam tarly,I read about it in a very old book.,Information/Lore
2013-06-02,Season 3,Episode 9,The Rains of Castamere,sam tarly,Yes.,Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Don't kill me!,War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,To Castle Black. I'm a brother of the Night's Watch.,Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Who's your brother?,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,You're Jon's brother. The one who fell from the window.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,I've been around Ghost enough to know a direwolf when I see one. And I've heard all about Hodor.,Information/Lore
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"I'd be dead if it wasn't for Jon. If you're his brother, you're my brother, too. And anything I can do to help you, I will.",Loyalty/Honour
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,What? Why in the world would you want to go-,Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Come with us. There are steps carved into the south side of the Wall. Hodor can carry you to the top. We'll walk straight to Castle Black.,Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"If Jon is alive, then Castle Black's where he'll be. It's the safest place for you.",Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"What I know is what I saw. And if you saw it, too, you'd run the other way.",Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,How do you know all that?,Information/Lore
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,But you're going to stop them?,Plans/Strategy/Advice
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,We found them at the Fist. Someone buried them a long time ago. Someone wanted us to find them.,Information/Lore
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Killing White Walkers.,War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Well, I suppose someone had to be the first.",Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"And the archer. I got lucky with one of them. There are more. Many more. And for every one of them, the dead men, more than you could count. I wish you'd come with us.",War/Violence
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,I know how this must look. What I meant was-,Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Maester.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,She hasn't chosen a name yet.,People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"He's not my child, Maester Aemon. She's one of Craster's wives. I remember every word of the oath. Night gathers and my watch begins. I am the shield that guards the realms of men. The realms of men. That means her as well as us. We didn't build five hundred miles of ice walls seve hundred feet high to keep men out. The night is gathering, Maester Aemon. I've seen it. It's coming for all of us.",Information/Lore
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Miles better.,Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Jon! Jon! Jon, it's us.",People
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Hush, now. You're home. Carry him inside. Gently.",Orders/Demands
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,Sometimes I want to hate you.,War/Violence
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,"Well, you're better than me at everything. Except reading.",Information/Lore
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,They're... they're ready for you.,Information/Lore
2014-04-06,Season 4,Episode 1,Two Swords,sam tarly,No one's going to hang you. You've done nothing wrong.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,She's not a whore.,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,They all think I'm lying.,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,Killing the white Walker.,War/Violence
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,But you're the only one that saw it. And they all think you're just a...,Information/Lore
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"Well, a wildling.",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"It's not a very nice word, I suppose.",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,So... are you all right? No one bothering you?,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,I worry about it sometimes. All the time.,Information/Lore
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"100 men, one woman.",People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,That's the only thing they think about.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,I'm not being silly. There's 100 men lying awake at night picturing you.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,What about me? Gilly? I worry about you.,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,For what?,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"I don't know if you're safe here. They're my brothers, but some of them were thieves before they came here. Some of them were rapers. You saw what they did at your father's keep.",Plans/Strategy/Advice
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,Maybe you'd be safer in Mole's Town.,Plans/Strategy/Advice
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,Bored of you? I... I want to protect you.,Plans/Strategy/Advice
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"He's seen some adventures, hasn't he?",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,That's right. She'll clean and cook and look after the other girls' babies.,People
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,No other work.,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,I promise to come back and visit whenever I can. You'll be safer here. Who's gonna protect you at Castle Black? Me?,Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"This is different. They're brothers of the Night's Watch and I can't just stab them in the back and I can't run away, which is what we did at Craster's.",Loyalty/Honour
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,You have to trust me. It's for the best.,Plans/Strategy/Advice
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"Oh, Gilly. Please don't.",Orders/Demands
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,I should neverhave taken her away.,Plans/Strategy/Advice
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,"She's not safe out there. I should have known. You told us there were wildlings south of the Wall. If they're raiding the smaller villages, Mole's Town could be next.",War/Violence
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,I should go back for Gilly.,Plans/Strategy/Advice
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,I remember when you disobeyed orders and rode south to help Robb.,Loyalty/Honour
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,"I wish I could have convinced him to come back with me. I tried. Really, I did.",Plans/Strategy/Advice
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,I don't know. They'd pass wildling villages. They could try to find shelter at one of them.,Plans/Strategy/Advice
2014-04-27,Season 4,Episode 4,Oathkeeper,sam tarly,Craster's? You think Bra nmight have found...,People
2014-05-18,Season 4,Episode 7,Mockingbird,sam tarly,"All right, Jon?",People
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,I should never have left her there.,Plans/Strategy/Advice
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,Of course I couldo ve known. They were raiding the villages close by.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,She's dead because of me.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,Little Same. As if I'd cut their throats myself.,War/Violence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,sam tarly,She might have.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,What was she like?,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Oh? How big were her feet?,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I want you to tell me what it was like to have someone. To be with someone. To love someone and have them love you back. We're all gonna die a lot sooner than I'd planned. You're the closest I'll ever get to know it.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,No...she just had a baby! ...and she never offered.,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"The interesting thing is, our vows never specifically forbid intimate relations with women.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"I shall take no wife"" yes, that's in there, there's no denying that. ""I shall father no children"" it's very specific. But what our vows have to say about other...activities...is open to interpretation.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"Anyway, there's nothing for him to interpret. We didn't. So what's it like?",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,"No, you're really not.",People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,There'll be arrows for all of us soon I imagine.,War/Violence
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,They've already done the worst thing to me they could ever do.,Information/Lore
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Maester Aemon. How did you know-,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Let me help you.,Orders/Demands
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Maester Faull,People
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,But what he says about what they do...it's all true. It's exactly what the survivors of their raids report.,Information/Lore
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,I don't love her.,Information/Lore
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,No.,Orders/Demands
