Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"You know, you remind me of another girl. A lovely thing I once acquired from an Elysium pleasure house. Beautiful, like yourself, and intelligent as yourself. But she wasn't happy. She cried, often. I asked her why but, we didn't have the kind of rapport that you and I have. Yes, it was quite sad. Girls from Elysium pleasure houses are expensive. Extremely expensive. And this one wasn't making me any money. I hate bad investments. Really, I do. They haunt me. I had no idea how to make her happy, no idea how to mitigate my losses. A very wealthy patron, he offered me a tremendous amount of money to let him transform this lovely, sad girl. To use her in ways that never occur to most men. And you know what occurs to most men. I would not say he succeeded in making her happy but my losses were definitely mitigated. . Take tonight off to mourn Mhaegen's child. I'll see you tomorrow. But you'll be happy? . That makes me happy.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Tell no one what?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,She imprisoned you. She tried to execute you. And you offer her son a princess?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,And I suppose you want me to broker this agreement?,Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"Yes, I could sing this song to Lysa, if I cared to. What's in it for me?",Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Harrenhal is cursed.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"With a single stroke, you'd make me one of the greatest lords in the realm.",Politics
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"So did Janos Slynt, and he was given Harrenhal, too. Until you snatched it away.",Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,The Queen mustn't know.,Politics
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"I don't appreciate being made a fool of, dwarf. If Myrcella marries the Martell boy, she can't very well marry Robin Arryn, can she?",People
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"And Harrenhal, I suppose that's off the table as well.",Plans/Strategy/Advice
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Leave me out of your next deception.,Orders/Demands
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Robb Stark will never release the Kingslayer.,Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your Grace.,Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I'm a practical man.,Trivial
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,And who would you have me be loyal to? Your brother's corpse?,Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"You still have many friends at court, Your Grace, many who believe Ned Stark erred by not supporting your claim.",Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I would give priority to my head.,Trivial
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"I understand that you don't like me, and while that saddens me greatly, I did not come here today seeking your affection. When you march on King's Landing, you may find yourself facing a protracted siege or open gates.",Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,All of these tents look the same to me. Would you be so kind-,Orders/Demands
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Your tent""? Not ""Our tent""? The king snores, perhaps? Or simply prefers solitude? Pressures of command, no doubt. Four kings vying for the throne.",Information/Lore
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"If war were arithmetic, the mathematicians would rule the world. I did notice your brother entering His Grace's tent just now.",Information/Lore
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"And on the night of your wedding, who was by the king's side then?",Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Your marriage is quite interesting. Not only to me, but to the realm. The marriage of a wealthy girl always breeds interest, if nothing else.",Information/Lore
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"I've been unlucky in my affections, sadly.",Information/Lore
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,You may have heard false reports.,Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Betrayed? I wanted him to serve as Protector of the Realm. I begged him to seize the moment.,Loyalty/Honour
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"No, my lady.",Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Cat, I've I've loved you since I was a boy. It seems to me that fate has given us this chance",Orders/Demands
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Do you want to see your girls again? Sansa, more beautiful than ever? And Arya, just as wild as ever?",People
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Both girls are healthy and safe. For now. But you know the Queen and you know Joffrey. I fear for their longevity if they remain in the capital.,Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,The Lannisters will trade your daughters for the Kingslayer.,Politics
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I'm not bringing these terms to him. I'm bringing them to you.,Information/Lore
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Robb has surprised them all with his skills in battle, but he's not a mother. Consider it, Cat. You may not get another chance. I've brought you a gift.",Plans/Strategy/Advice
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your husband was an honorable man. He should rest beside his family in the crypts beneath Winterfell. You may not believe,Loyalty/Honour
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"My lord, my lady.",People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"Stannis will be here in an hour. When he arrives, Renly's bannermen will flock to him. Your former companions will fight for the privilege of selling you to their new king.",Plans/Strategy/Advice
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"You will note that I am standing here talking to you, not Stannis.",Information/Lore
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Stannis.,People
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"Tell me, Ser Loras, what do you desire most in this world?",Orders/Demands
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"I have always found that to be the purest of motivations, but you won't have a chance to put your sword through Stannis, not today. You'll be cut to pieces before he sets foot on solid ground. If it is justice that you want, be smart about it.",Plans/Strategy/Advice
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"He was, Your Grace.",Politics
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Do you want to be a queen?,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Lord Tywin.,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Thank you.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,I traveled here directly from Renly Baratheon's camp.,Information/Lore
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,So they say. There has been talk of other forces at work. Dark forces.,Information/Lore
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,It is my belief that a moment of chaos affords opportunities lost soon after.,Plans/Strategy/Advice
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"After the Lannisters and the Starks, the Tyrells command the largest host. Their lands are the most fertile in the Seven Kingdoms, feeding horses and soldiers.",Information/Lore
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,The Tyrells have not yet declared for any of the surviving kings. Loras wants revenge. He blames Stannis for Renly's death. And Margaery-,Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"Yes, she does.",People
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"They did. And perhaps that treason should be punished one day, after Stannis and Robb Stark are defeated.",Loyalty/Honour
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"If you will allow me to represent your family's interests, I believe that an advantageous agreement TYWIN",Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,They have.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,It's only wine.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"Tonight, with your leave.",Plans/Strategy/Advice
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"On your son Tyrion's directive, I met with Catelyn Stark.",Information/Lore
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,He had an interesting proposal for her concerning her daughters.,Plans/Strategy/Advice
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"You honor me beyond words, Your Grace. I shall have to acquire some sons and grandsons.",Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,My lady. My sincerest condolences.,Politics
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"You shouldn't say that. You'll be good enough for many things. He'll still enjoy beating you. And now that you're a woman, he'll be able to enjoy you in other ways as well.",Plans/Strategy/Advice
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home.",Loyalty/Honour
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,Look around you. We're all liars here. And every one of us is better than you.,Information/Lore
