Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,Where is Father? And Dickon?,People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,It's beautiful. You're beautiful.,People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Oh, yes. Yes, please. Thank you, Mother.",People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,Gilly.,People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,"Good-bye, Gilly.",People
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,She won't mind. Looks better on you anyway.,People
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,"So, you believe me.",People
2017-07-16,Season 7,Episode 1,Dragonstone,sam tarly,That makes you the only person south of the Twins who does.,People
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,Mormont?,People
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"Archmaester, I wanted to --",People
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,"Archmaester, if I could just have a moment.",People
2017-07-23,Season 7,Episode 2,Stormborn,sam tarly,You're Jorah Mormont. You're the only son of Jeor Mormont.,People
2017-07-30,Season 7,Episode 3,The Queen’s Justice,sam tarly,Yes.,People
2017-07-30,Season 7,Episode 3,The Queen’s Justice,sam tarly,No one.,People
2017-08-06,Season 7,Episode 4,The Spoils Of War,petyr baelish,"To go through all of that and make your way home again only to find such chaos in the world, I can only imagine --",People
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,Jon. I didn't know you were here.,People
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,"Sansa, is she all right?",People
2017-08-06,Season 7,Episode 4,The Spoils Of War,theon greyjoy,Where did she go?,People
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,Brandon Stark --,People
2017-08-13,Season 7,Episode 5,Eastwatch,sam tarly,the crippled boy.,People
