Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,She's our queen,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,I did. I ran from my uncle.,Loyalty/Honour
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,Not for me. For Yara!,Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,"Oh, it's my honor to serve you, Your Grace.",Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,Would you have done it?,Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,You've also spared men. Thousands of wildlings when they refused to kneel.,Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,But you were. You've always been.,Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,sam tarly,It's the truth. You gave up your crown to save your people. Would she do the same?,Loyalty/Honour
2019-04-14,Season 8,Episode 1,Winterfell,theon greyjoy,You're my queen. I go where you command.,Loyalty/Honour
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,sam tarly,"Yes. And I'd love to defend them with it. But I can't really hold it upright. Your father, he taught me how to be a man. How to do what's right. This is right. It's Valyrian steel. I'd be honored if you'd take it.",Loyalty/Honour
2019-04-21,Season 8,Episode 2,A Knight of the Seven Kingdoms,theon greyjoy,He won't be. I'll stay with him. With the Ironborn. I took this castle from you. Let me defend you now.,Loyalty/Honour
